李峤	风
唐寅	画鸡
胡令能	小儿垂钓
柳宗元	江雪
查慎行	舟夜书所见
杨万里	晓出净慈寺送林子方
白居易	赋得古原草送别
高鼎	村居
李清照	如梦令
李清照	如梦令·昨夜雨疏风骤
陆游	卜算子·咏梅
苏轼	卜算子·黄州定慧院寓居作
晏殊	清平乐
李煜	虞美人
李煜	相见欢
温庭筠	望江南
杜牧	过华清宫三首
杜牧	秋夕
李商隐	嫦娥
王维	山居秋暝
李白	峨眉山月歌
李白	望天门山
李白	春夜洛城闻笛
李白	早发白帝城
两汉乐府	长歌行
无名氏	国风·周南·桃夭
翁卷	乡村四月
叶绍翁	游园不值
龚自珍	己亥杂诗·其五
高启	寻胡隐君
杨万里	小池
欧阳修	生查子·元夕
王安石	登飞来峰
苏轼	赠刘景文
王安石	梅花
李清照	夏日绝句
苏轼	饮湖上初晴后雨（其二）
苏轼	惠崇春江晚景（其一）
王安石	元日
范仲淹	江上渔者
李绅	悯农（其二）
李绅	悯农（其一）
骆宾王	于易水送人
骆宾王	咏鹅
王之涣	凉州词二首·其一
王之涣	登鹳雀楼
贺知章	回乡偶书二首·其一
贺知章	咏柳
罗隐	蜂
孟郊	游子吟
刘长卿	逢雪宿芙蓉山主人
贾岛	题诗后
贾岛	寻隐者不遇
韦应物	秋夜寄丘二十二员外
王昌龄	出塞
王昌龄	芙蓉楼送辛渐二首
李贺	马诗二十三首（其五）
韩愈	奉和虢州刘给事使君
刘禹锡	秋风引
刘禹锡	竹枝词（其一）
刘禹锡	乌衣巷
白居易	南浦别
白居易	夜雪
白居易	池上二绝
白居易	问刘十九
白居易	忆江南三首
孟浩然	洛中访袁拾遗不遇
孟浩然	送朱大入秦
孟浩然	句
孟浩然	宿建德江
孟浩然	春晓
杜牧	山行
杜牧	清明
李商隐	登乐游原
王维	少年行四首
王维	寄河上段十六
王维	田园乐七首
王维	辛夷坞
王维	山中送别
王维	画
王维	终南别业
王维	使至塞上
王维	鸟鸣涧
王维	相思
王维	竹里馆
王维	九月九日忆山东兄弟
王维	送元二使安西
王维	鹿柴
杜甫	八阵图
