唐	李白	登金陵凤凰台	凤凰台上凤凰游，凤去台空江自流。吴宫花草埋幽径，晋代衣冠成古丘。三山半落青天外，一水中分白鹭洲。总为浮云能蔽日，长安不见使人愁。
清	曹雪芹	宝琴怀古绝句十首・赤壁怀古其一	赤壁沉埋水不流，徒留名姓载空舟。喧阗一炬悲风冷，无限英魂在内游。
清	曹雪芹	宝琴怀古绝句十首・交趾怀古其二	铜柱金城振纪纲，声传海外播戎羌。马援自是功劳大，铁笛无烦说子房。
清	曹雪芹	宝琴怀古绝句十首・锺山怀古其三	名利何曾伴汝身？无端被诏出凡尘。牵连大抵难休绝，莫怨他人嘲笑频。
清	曹雪芹	宝琴怀古绝句十首・淮阴怀古其四	壮士须防恶犬欺，三齐位定盖棺时。寄言世俗休轻鄙：一饭之恩死也知。
清	曹雪芹	宝琴怀古绝句十首・广陵怀古其五	蝉噪鸦栖转眼过，隋堤风景近如何？只缘占尽风流号，惹得纷纷口舌多。
清	曹雪芹	宝琴怀古绝句十首・桃叶渡怀古其六	衰草闲花映浅池，桃枝桃叶总分离。六朝梁栋多少许，小照空悬壁上题。
清	曹雪芹	宝琴怀古绝句十首・青冢怀古其七	黑水茫茫咽不流，冰弦拨尽曲中愁。汉家制度诚堪笑，樗栎应惭万古羞。
清	曹雪芹	宝琴怀古绝句十首・马嵬怀古其八	寂寞脂痕积汗光，温柔一旦付东洋。只因遗得风流迹，此日衣裳尚有香。
清	曹雪芹	宝琴怀古绝句十首・蒲东寺怀古其九	小红骨贱一身轻，私掖偷携强撮成。虽被夫人时吊起，已经勾引彼同行。
清	曹雪芹	宝琴怀古绝句十首・梅花观怀古其十	不在梅边在柳边，个中谁拾画婵娟？团圆莫忆春香到，一别西风又一年。
